seccion,indicador,titulo,ambito,sexo,periodo,valor,unidad
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2002T1,1773.2,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2002T2,1777.5,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2002T3,1791.4,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2002T4,1833.3,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2003T1,1840.6,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2003T2,1853.3,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2003T3,1872.7,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2003T4,1917.9,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2004T1,1926.2,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2004T2,1953.3,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2004T3,1965.5,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2004T4,2028.3,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2005T1,2029.3,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2005T2,2054.6,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2005T3,2087.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2005T4,2115.2,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2006T1,2123.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2006T2,2169.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2006T3,2164.5,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2006T4,2202.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2007T1,2196.9,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2007T2,2221.6,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2007T3,2242.6,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2007T4,2259.1,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2008T1,2266.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2008T2,2235.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2008T3,2196.5,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2008T4,2170.6,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2009T1,2049.7,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2009T2,2013.0,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2009T3,1983.7,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2009T4,1969.3,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2010T1,1940.1,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2010T2,1916.1,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2010T3,1924.6,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2010T4,1930.5,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2011T1,1883.9,miles de personas
epa,ocupados,Ocupados,comunitat-valenciana,Ambos sexos,2011T2,1911.7,miles de personas
